slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
211,0.24895510204081633,62,11941,100.0,1071.6,12,8,5.994658331558454
313,0.21543673469387756,76,5104,63.5,1069.5,25,9,5.992921960279682
194,0.22364897959183674,94,3077,61.0,879.7000000000003,27,6,5.985827238216476
133,0.2160081632653061,84,4466,43.5,917.9000000000005,26,8,5.983376379230574
335,0.23755102040816325,73,3899,66.0,729.7999999999997,20,7,5.980190058751432
285,0.22093877551020408,71,5418,68.0,910.0,22,7,5.95605288807269
277,0.22028571428571428,84,6245,46.5,695.0000000000005,21,6,5.950968572726537
230,0.23620408163265305,66,7203,87.0,742.0,16,6,5.944243586749602
135,0.2206122448979592,74,4148,58.5,1226.800000000001,24,8,5.915770240641534
186,0.2242612244897959,77,4009,91.0,1132.6000000000001,23,9,5.913066876781676
134,0.2202530612244898,84,4088,50.0,959.4000000000005,24,9,5.895811189248405
195,0.22757551020408162,90,3118,63.0,862.700000000001,24,7,5.8934587562926986
170,0.20776326530612244,82,5417,79.5,655.8000000000001,26,6,5.887158736461625
276,0.21736326530612246,84,4071,51.0,802.9000000000003,25,6,5.886401240365395
282,0.20866938775510205,84,3934,54.5,785.8,29,8,5.874873033400967
316,0.21675918367346939,79,5043,49.0,641.200000000001,23,6,5.873294481737311
336,0.24489795918367346,57,5657,74.0,812.1999999999997,15,5,5.867132089089871
337,0.2433061224489796,59,5838,124.0,1041.0000000000002,15,7,5.85023787764958
311,0.21793469387755102,73,5179,60.0,722.7999999999995,22,6,5.844246472982028
309,0.21413877551020408,70,6787,61.5,408.0,21,6,5.839991486384941
278,0.22051428571428572,77,3371,47.0,848.8000000000003,25,7,5.836212583665018
289,0.21282448979591836,78,4462,47.0,1051.2999999999995,25,8,5.827062890996148
308,0.21541224489795918,71,6205,70.0,471.0,21,6,5.815035031952089
291,0.20267755102040816,86,3924,52.5,809.5,31,8,5.812667746382631
136,0.21998367346938774,77,3652,61.0,918.8000000000001,24,7,5.808760634647725
342,0.20991020408163266,72,3409,66.5,721.9,29,7,5.807570880891283
176,0.21852244897959183,73,4786,80.0,946.7999999999996,22,7,5.805946848070936
236,0.20644897959183672,81,4225,57.0,700.0,28,8,5.8040220904075746
290,0.2089469387755102,82,4161,50.0,941.9000000000004,27,8,5.802406905025773
326,0.22242448979591836,73,4603,55.0,974.5999999999998,21,7,5.799041586929519
204,0.21947755102040817,76,6747,96.0,926.5,19,7,5.797143030543393
137,0.218,70,5435,57.5,914.7000000000006,21,7,5.795624644079785
199,0.22716734693877552,82,3015,51.0,805.4000000000001,23,8,5.784037691310846
248,0.20142857142857143,82,4531,41.5,724.8000000000001,29,6,5.767787086206775
226,0.2337061224489796,61,6045,65.0,758.0,16,6,5.7653476873841365
197,0.22624489795918368,73,3680,46.0,1335.3999999999992,21,9,5.742177704487085
233,0.21143673469387755,74,6463,63.0,617.6,21,6,5.734337118561915
306,0.21375510204081632,64,5834,88.5,962.3000000000005,21,7,5.729571926630941
327,0.22822857142857142,77,4300,47.0,1024.600000000002,19,8,5.720344222397534
0,0.24891428571428573,47,10328,106.0,1602.9999999999998,11,8,5.7168824555872355
174,0.22546938775510203,69,6389,81.0,909.2,17,6,5.710429885583894
177,0.2186204081632653,72,4664,98.5,937.8999999999997,21,6,5.708756387213701
179,0.21522448979591838,85,3427,60.0,948.4000000000002,25,7,5.707760692530368
270,0.20488979591836734,78,3870,71.0,1051.1999999999998,28,9,5.699651755849753
318,0.20804081632653063,75,4904,65.0,667.6000000000005,24,5,5.690756841783453
206,0.22034285714285715,77,4179,82.0,899.2000000000011,21,8,5.678966440084462
314,0.2160408163265306,70,4923,79.5,901.2,21,6,5.677479448811622
295,0.21223673469387755,80,3034,48.0,1127.9000000000003,27,9,5.6704359804277855
187,0.22518367346938775,85,4468,77.0,1009.4000000000008,19,9,5.669874932295002
287,0.2168081632653061,75,4707,81.0,1062.6000000000006,21,9,5.66758287118873
329,0.2410530612244898,70,4006,74.0,1378.1000000000001,16,10,5.665654722101941
275,0.21436734693877552,89,3026,46.0,752.4000000000003,26,6,5.662987486646648
200,0.21879183673469388,78,3365,76.5,1013.299999999999,23,8,5.6471270987262345
201,0.21252244897959183,80,3771,58.0,1044.0000000000011,24,9,5.633673289209501
328,0.23707755102040817,62,4143,89.0,1766.6999999999998,16,9,5.594796630646511
